num_iterations, num_threads, num_blocks, threads_per_block, size, stride, overall_kernel_time
100, 1, 1, 1, 1024, 4, 0.0611187
100, 1, 1, 1, 1024, 8, 0.0535861
100, 1, 1, 1, 1024, 16, 0.0298825
100, 1, 1, 1, 1024, 32, 0.029877
100, 1, 1, 1, 1024, 64, 0.0304405
100, 1, 1, 1, 1024, 128, 0.03044
100, 1, 1, 1, 1024, 256, 0.0304408
100, 1, 1, 1, 1024, 512, 0.0304407
100, 1, 1, 1, 1024, 1024, 0.0298737
100, 1, 1, 1, 2048, 4, 0.0298812
100, 1, 1, 1, 2048, 8, 0.0298802
100, 1, 1, 1, 2048, 16, 0.0298736
100, 1, 1, 1, 2048, 32, 0.0304473
100, 1, 1, 1, 2048, 64, 0.0304505
100, 1, 1, 1, 2048, 128, 0.0304423
100, 1, 1, 1, 2048, 256, 0.0304417
100, 1, 1, 1, 2048, 512, 0.0298726
100, 1, 1, 1, 2048, 1024, 0.0298733
100, 1, 1, 1, 2048, 2048, 0.0298737
100, 1, 1, 1, 4096, 4, 0.0298898
100, 1, 1, 1, 4096, 8, 0.0304543
100, 1, 1, 1, 4096, 16, 0.03044
100, 1, 1, 1, 4096, 32, 0.0304561
100, 1, 1, 1, 4096, 64, 0.0304484
100, 1, 1, 1, 4096, 128, 0.0298772
100, 1, 1, 1, 4096, 256, 0.0298753
100, 1, 1, 1, 4096, 512, 0.0298836
100, 1, 1, 1, 4096, 1024, 0.029874
100, 1, 1, 1, 4096, 2048, 0.0304403
100, 1, 1, 1, 4096, 4096, 0.0304407
100, 1, 1, 1, 8192, 4, 0.030472
100, 1, 1, 1, 8192, 8, 0.0304728
100, 1, 1, 1, 8192, 16, 0.0298726
100, 1, 1, 1, 8192, 32, 0.0299034
100, 1, 1, 1, 8192, 64, 0.0298889
100, 1, 1, 1, 8192, 128, 0.0298827
100, 1, 1, 1, 8192, 256, 0.0304404
100, 1, 1, 1, 8192, 512, 0.0304409
100, 1, 1, 1, 8192, 1024, 0.0304302
100, 1, 1, 1, 8192, 2048, 0.0304288
100, 1, 1, 1, 8192, 4096, 0.0298617
100, 1, 1, 1, 8192, 8192, 0.0298623
100, 1, 1, 1, 16384, 4, 0.0303563
100, 1, 1, 1, 16384, 8, 0.0307479
100, 1, 1, 1, 16384, 16, 0.0319862
100, 1, 1, 1, 16384, 32, 0.0304891
100, 1, 1, 1, 16384, 64, 0.0304602
100, 1, 1, 1, 16384, 128, 0.030444
100, 1, 1, 1, 16384, 256, 0.0298687
100, 1, 1, 1, 16384, 512, 0.029865
100, 1, 1, 1, 16384, 1024, 0.0298643
100, 1, 1, 1, 16384, 2048, 0.0298634
100, 1, 1, 1, 16384, 4096, 0.0304288
100, 1, 1, 1, 16384, 8192, 0.0304285
100, 1, 1, 1, 16384, 16384, 0.0304292
100, 1, 1, 1, 32768, 4, 0.0320467
100, 1, 1, 1, 32768, 8, 0.0328631
100, 1, 1, 1, 32768, 16, 0.0359339
100, 1, 1, 1, 32768, 32, 0.0424868
100, 1, 1, 1, 32768, 64, 0.0554545
100, 1, 1, 1, 32768, 128, 0.0540768
100, 1, 1, 1, 32768, 256, 0.0547872
100, 1, 1, 1, 32768, 512, 0.0304376
100, 1, 1, 1, 32768, 1024, 0.0304437
100, 1, 1, 1, 32768, 2048, 0.0298622
100, 1, 1, 1, 32768, 4096, 0.0298611
100, 1, 1, 1, 32768, 8192, 0.0298727
100, 1, 1, 1, 32768, 16384, 0.0298627
100, 1, 1, 1, 32768, 32768, 0.0304281
100, 1, 1, 1, 65536, 4, 0.0319759
100, 1, 1, 1, 65536, 8, 0.0335618
100, 1, 1, 1, 65536, 16, 0.0367477
100, 1, 1, 1, 65536, 32, 0.0417554
100, 1, 1, 1, 65536, 64, 0.054413
100, 1, 1, 1, 65536, 128, 0.0546907
100, 1, 1, 1, 65536, 256, 0.0555947
100, 1, 1, 1, 65536, 512, 0.057092
100, 1, 1, 1, 65536, 1024, 0.0304377
100, 1, 1, 1, 65536, 2048, 0.0304341
100, 1, 1, 1, 65536, 4096, 0.0304305
100, 1, 1, 1, 65536, 8192, 0.0298623
100, 1, 1, 1, 65536, 16384, 0.0298618
100, 1, 1, 1, 65536, 32768, 0.0298629
100, 1, 1, 1, 65536, 65536, 0.0298626
100, 1, 1, 1, 131072, 4, 0.0319522
100, 1, 1, 1, 131072, 8, 0.0335372
100, 1, 1, 1, 131072, 16, 0.0366295
100, 1, 1, 1, 131072, 32, 0.04315
100, 1, 1, 1, 131072, 64, 0.0537773
100, 1, 1, 1, 131072, 128, 0.0544822
100, 1, 1, 1, 131072, 256, 0.0547837
100, 1, 1, 1, 131072, 512, 0.0571724
100, 1, 1, 1, 131072, 1024, 0.0570982
100, 1, 1, 1, 131072, 2048, 0.0304372
100, 1, 1, 1, 131072, 4096, 0.030433
100, 1, 1, 1, 131072, 8192, 0.0304301
100, 1, 1, 1, 131072, 16384, 0.0298622
100, 1, 1, 1, 131072, 32768, 0.0298627
100, 1, 1, 1, 131072, 65536, 0.0298735
100, 1, 1, 1, 131072, 131072, 0.0298628
100, 1, 1, 1, 262144, 4, 0.0319567
100, 1, 1, 1, 262144, 8, 0.0335424
100, 1, 1, 1, 262144, 16, 0.0366544
100, 1, 1, 1, 262144, 32, 0.0432266
100, 1, 1, 1, 262144, 64, 0.0534708
100, 1, 1, 1, 262144, 128, 0.0541688
100, 1, 1, 1, 262144, 256, 0.0552231
100, 1, 1, 1, 262144, 512, 0.0571863
100, 1, 1, 1, 262144, 1024, 0.0571403
100, 1, 1, 1, 262144, 2048, 0.0577975
100, 1, 1, 1, 262144, 4096, 0.0304389
100, 1, 1, 1, 262144, 8192, 0.0304333
100, 1, 1, 1, 262144, 16384, 0.0298628
100, 1, 1, 1, 262144, 32768, 0.0298627
100, 1, 1, 1, 262144, 65536, 0.0298623
100, 1, 1, 1, 262144, 131072, 0.0298621
100, 1, 1, 1, 262144, 262144, 0.0304356
100, 1, 1, 1, 524288, 4, 0.0320116
100, 1, 1, 1, 524288, 8, 0.0335681
100, 1, 1, 1, 524288, 16, 0.036846
100, 1, 1, 1, 524288, 32, 0.0417242
100, 1, 1, 1, 524288, 64, 0.0540514
100, 1, 1, 1, 524288, 128, 0.0547937
100, 1, 1, 1, 524288, 256, 0.0550217
100, 1, 1, 1, 524288, 512, 0.0571388
100, 1, 1, 1, 524288, 1024, 0.0571713
100, 1, 1, 1, 524288, 2048, 0.0585828
100, 1, 1, 1, 524288, 4096, 0.0614735
100, 1, 1, 1, 524288, 8192, 0.0298711
100, 1, 1, 1, 524288, 16384, 0.0298661
100, 1, 1, 1, 524288, 32768, 0.0298627
100, 1, 1, 1, 524288, 65536, 0.0298746
100, 1, 1, 1, 524288, 131072, 0.0304293
100, 1, 1, 1, 524288, 262144, 0.0304282
100, 1, 1, 1, 524288, 524288, 0.0304293
100, 1, 1, 1, 1048576, 4, 0.0319206
100, 1, 1, 1, 1048576, 8, 0.0328744
100, 1, 1, 1, 1048576, 16, 0.0359246
100, 1, 1, 1, 1048576, 32, 0.0425461
100, 1, 1, 1, 1048576, 64, 0.0554572
100, 1, 1, 1, 1048576, 128, 0.0544787
100, 1, 1, 1, 1048576, 256, 0.0552977
100, 1, 1, 1, 1048576, 512, 0.0571726
100, 1, 1, 1, 1048576, 1024, 0.0583296
100, 1, 1, 1, 1048576, 2048, 0.0568736
100, 1, 1, 1, 1048576, 4096, 0.0587894
100, 1, 1, 1, 1048576, 8192, 0.0590082
100, 1, 1, 1, 1048576, 16384, 0.0298713
100, 1, 1, 1, 1048576, 32768, 0.0304407
100, 1, 1, 1, 1048576, 65536, 0.0304359
100, 1, 1, 1, 1048576, 131072, 0.03043
100, 1, 1, 1, 1048576, 262144, 0.0304288
100, 1, 1, 1, 1048576, 524288, 0.0298618
100, 1, 1, 1, 1048576, 1048576, 0.0298628
100, 1, 1, 1, 2097152, 4, 0.03144
100, 1, 1, 1, 2097152, 8, 0.0330485
100, 1, 1, 1, 2097152, 16, 0.0362954
100, 1, 1, 1, 2097152, 32, 0.0426379
100, 1, 1, 1, 2097152, 64, 0.0549041
100, 1, 1, 1, 2097152, 128, 0.0559819
100, 1, 1, 1, 2097152, 256, 0.0538328
100, 1, 1, 1, 2097152, 512, 0.0571233
100, 1, 1, 1, 2097152, 1024, 0.057147
100, 1, 1, 1, 2097152, 2048, 0.0578614
100, 1, 1, 1, 2097152, 4096, 0.057942
100, 1, 1, 1, 2097152, 8192, 0.0580482
100, 1, 1, 1, 2097152, 16384, 0.0587277
100, 1, 1, 1, 2097152, 32768, 0.0304367
100, 1, 1, 1, 2097152, 65536, 0.0298748
100, 1, 1, 1, 2097152, 131072, 0.0298637
100, 1, 1, 1, 2097152, 262144, 0.0298614
100, 1, 1, 1, 2097152, 524288, 0.0298615
100, 1, 1, 1, 2097152, 1048576, 0.0304292
100, 1, 1, 1, 2097152, 2097152, 0.0304282
100, 1, 1, 1, 4194304, 4, 0.0318716
100, 1, 1, 1, 4194304, 8, 0.0333812
100, 1, 1, 1, 4194304, 16, 0.0352313
100, 1, 1, 1, 4194304, 32, 0.0412643
100, 1, 1, 1, 4194304, 64, 0.0531462
100, 1, 1, 1, 4194304, 128, 0.0542512
100, 1, 1, 1, 4194304, 256, 0.0531544
100, 1, 1, 1, 4194304, 512, 0.0571208
100, 1, 1, 1, 4194304, 1024, 0.0573676
100, 1, 1, 1, 4194304, 2048, 0.0578949
100, 1, 1, 1, 4194304, 4096, 0.0561163
100, 1, 1, 1, 4194304, 8192, 0.0575727
100, 1, 1, 1, 4194304, 16384, 0.0576819
100, 1, 1, 1, 4194304, 32768, 0.0571902
100, 1, 1, 1, 4194304, 65536, 0.0304424
100, 1, 1, 1, 4194304, 131072, 0.0304327
100, 1, 1, 1, 4194304, 262144, 0.0304303
100, 1, 1, 1, 4194304, 524288, 0.0304287
100, 1, 1, 1, 4194304, 1048576, 0.029861
100, 1, 1, 1, 4194304, 2097152, 0.0298624
100, 1, 1, 1, 4194304, 4194304, 0.0298618
100, 1, 1, 1, 8388608, 4, 0.0313476
100, 1, 1, 1, 8388608, 8, 0.0331695
100, 1, 1, 1, 8388608, 16, 0.0359157
100, 1, 1, 1, 8388608, 32, 0.0417469
100, 1, 1, 1, 8388608, 64, 0.053517
100, 1, 1, 1, 8388608, 128, 0.0516899
100, 1, 1, 1, 8388608, 256, 0.0526648
100, 1, 1, 1, 8388608, 512, 0.0571535
100, 1, 1, 1, 8388608, 1024, 0.0573009
100, 1, 1, 1, 8388608, 2048, 0.0571568
100, 1, 1, 1, 8388608, 4096, 0.0574838
100, 1, 1, 1, 8388608, 8192, 0.0576145
100, 1, 1, 1, 8388608, 16384, 0.0581069
100, 1, 1, 1, 8388608, 32768, 0.056467
100, 1, 1, 1, 8388608, 65536, 0.0570989
100, 1, 1, 1, 8388608, 131072, 0.0298697
100, 1, 1, 1, 8388608, 262144, 0.0298706
100, 1, 1, 1, 8388608, 524288, 0.0304288
100, 1, 1, 1, 8388608, 1048576, 0.030429
100, 1, 1, 1, 8388608, 2097152, 0.0304296
100, 1, 1, 1, 8388608, 4194304, 0.0304299
100, 1, 1, 1, 8388608, 8388608, 0.0299138
100, 1, 1, 1, 16777216, 4, 0.0312744
100, 1, 1, 1, 16777216, 8, 0.0327325
100, 1, 1, 1, 16777216, 16, 0.0356288
100, 1, 1, 1, 16777216, 32, 0.0411798
100, 1, 1, 1, 16777216, 64, 0.0523359
100, 1, 1, 1, 16777216, 128, 0.0530555
100, 1, 1, 1, 16777216, 256, 0.054088
100, 1, 1, 1, 16777216, 512, 0.0556012
100, 1, 1, 1, 16777216, 1024, 0.0571198
100, 1, 1, 1, 16777216, 2048, 0.0572036
100, 1, 1, 1, 16777216, 4096, 0.057379
100, 1, 1, 1, 16777216, 8192, 0.0572211
100, 1, 1, 1, 16777216, 16384, 0.0572883
100, 1, 1, 1, 16777216, 32768, 0.0573224
100, 1, 1, 1, 16777216, 65536, 0.0580511
100, 1, 1, 1, 16777216, 131072, 0.0553037
100, 1, 1, 1, 16777216, 262144, 0.0298875
100, 1, 1, 1, 16777216, 524288, 0.0298652
100, 1, 1, 1, 16777216, 1048576, 0.0298634
100, 1, 1, 1, 16777216, 2097152, 0.0304294
100, 1, 1, 1, 16777216, 4194304, 0.0304294
100, 1, 1, 1, 16777216, 8388608, 0.0304274
100, 1, 1, 1, 16777216, 16777216, 0.0304273
100, 1, 1, 1, 33554432, 4, 0.031248
100, 1, 1, 1, 33554432, 8, 0.0326658
100, 1, 1, 1, 33554432, 16, 0.0354977
100, 1, 1, 1, 33554432, 32, 0.0414735
100, 1, 1, 1, 33554432, 64, 0.0517646
100, 1, 1, 1, 33554432, 128, 0.0524871
100, 1, 1, 1, 33554432, 256, 0.0533271
100, 1, 1, 1, 33554432, 512, 0.0581362
100, 1, 1, 1, 33554432, 1024, 0.0567667
100, 1, 1, 1, 33554432, 2048, 0.0571296
100, 1, 1, 1, 33554432, 4096, 0.0572264
100, 1, 1, 1, 33554432, 8192, 0.0572745
100, 1, 1, 1, 33554432, 16384, 0.0571658
100, 1, 1, 1, 33554432, 32768, 0.0572258
100, 1, 1, 1, 33554432, 65536, 0.0571418
100, 1, 1, 1, 33554432, 131072, 0.057817
100, 1, 1, 1, 33554432, 262144, 0.0567267
100, 1, 1, 1, 33554432, 524288, 0.02987
100, 1, 1, 1, 33554432, 1048576, 0.0298659
100, 1, 1, 1, 33554432, 2097152, 0.0298654
100, 1, 1, 1, 33554432, 4194304, 0.0304289
100, 1, 1, 1, 33554432, 8388608, 0.0304392
100, 1, 1, 1, 33554432, 16777216, 0.030428
100, 1, 1, 1, 33554432, 33554432, 0.0304277
100, 1, 1, 1, 67108864, 4, 0.031232
100, 1, 1, 1, 67108864, 8, 0.0326803
100, 1, 1, 1, 67108864, 16, 0.0355197
100, 1, 1, 1, 67108864, 32, 0.0415272
100, 1, 1, 1, 67108864, 64, 0.0517762
100, 1, 1, 1, 67108864, 128, 0.052465
100, 1, 1, 1, 67108864, 256, 0.0533379
100, 1, 1, 1, 67108864, 512, 0.0581621
100, 1, 1, 1, 67108864, 1024, 0.0556646
100, 1, 1, 1, 67108864, 2048, 0.0571254
100, 1, 1, 1, 67108864, 4096, 0.0571708
100, 1, 1, 1, 67108864, 8192, 0.0572089
100, 1, 1, 1, 67108864, 16384, 0.0571421
100, 1, 1, 1, 67108864, 32768, 0.057175
100, 1, 1, 1, 67108864, 65536, 0.0572232
100, 1, 1, 1, 67108864, 131072, 0.0582295
100, 1, 1, 1, 67108864, 262144, 0.0571096
100, 1, 1, 1, 67108864, 524288, 0.0571412
100, 1, 1, 1, 67108864, 1048576, 0.0298801
100, 1, 1, 1, 67108864, 2097152, 0.0298654
100, 1, 1, 1, 67108864, 4194304, 0.0304309
100, 1, 1, 1, 67108864, 8388608, 0.0304284
100, 1, 1, 1, 67108864, 16777216, 0.0304279
100, 1, 1, 1, 67108864, 33554432, 0.0304298
100, 1, 1, 1, 67108864, 67108864, 0.0298604
100, 1, 1, 1, 134217728, 4, 0.0312685
100, 1, 1, 1, 134217728, 8, 0.0327362
100, 1, 1, 1, 134217728, 16, 0.0356298
100, 1, 1, 1, 134217728, 32, 0.0411823
100, 1, 1, 1, 134217728, 64, 0.0522931
100, 1, 1, 1, 134217728, 128, 0.053142
100, 1, 1, 1, 134217728, 256, 0.0538891
100, 1, 1, 1, 134217728, 512, 0.0555964
100, 1, 1, 1, 134217728, 1024, 0.0571403
100, 1, 1, 1, 134217728, 2048, 0.0571762
100, 1, 1, 1, 134217728, 4096, 0.0572963
100, 1, 1, 1, 134217728, 8192, 0.0572807
100, 1, 1, 1, 134217728, 16384, 0.0575558
100, 1, 1, 1, 134217728, 32768, 0.058096
100, 1, 1, 1, 134217728, 65536, 0.0592011
100, 1, 1, 1, 134217728, 131072, 0.0587
100, 1, 1, 1, 134217728, 262144, 0.0620426
100, 1, 1, 1, 134217728, 524288, 0.0675501
100, 1, 1, 1, 134217728, 1048576, 0.0798466
100, 1, 1, 1, 134217728, 2097152, 0.030459
100, 1, 1, 1, 134217728, 4194304, 0.0304427
100, 1, 1, 1, 134217728, 8388608, 0.0304299
100, 1, 1, 1, 134217728, 16777216, 0.0304282
100, 1, 1, 1, 134217728, 33554432, 0.0298635
100, 1, 1, 1, 134217728, 67108864, 0.0299074
100, 1, 1, 1, 134217728, 134217728, 0.029861
100, 1, 1, 1, 268435456, 4, 0.0313574
100, 1, 1, 1, 268435456, 8, 0.0331529
100, 1, 1, 1, 268435456, 16, 0.0359297
100, 1, 1, 1, 268435456, 32, 0.0417447
100, 1, 1, 1, 268435456, 64, 0.0534316
100, 1, 1, 1, 268435456, 128, 0.0513228
100, 1, 1, 1, 268435456, 256, 0.0540425
100, 1, 1, 1, 268435456, 512, 0.0571924
100, 1, 1, 1, 268435456, 1024, 0.0572032
100, 1, 1, 1, 268435456, 2048, 0.0572016
100, 1, 1, 1, 268435456, 4096, 0.057241
100, 1, 1, 1, 268435456, 8192, 0.0573905
100, 1, 1, 1, 268435456, 16384, 0.0583274
100, 1, 1, 1, 268435456, 32768, 0.0561408
100, 1, 1, 1, 268435456, 65536, 0.0583541
100, 1, 1, 1, 268435456, 131072, 0.060227
100, 1, 1, 1, 268435456, 262144, 0.0634209
100, 1, 1, 1, 268435456, 524288, 0.0669673
100, 1, 1, 1, 268435456, 1048576, 0.0798366
100, 1, 1, 1, 268435456, 2097152, 0.100593
100, 1, 1, 1, 268435456, 4194304, 0.030461
100, 1, 1, 1, 268435456, 8388608, 0.0298884
100, 1, 1, 1, 268435456, 16777216, 0.0298666
100, 1, 1, 1, 268435456, 33554432, 0.0298642
100, 1, 1, 1, 268435456, 67108864, 0.0298638
100, 1, 1, 1, 268435456, 134217728, 0.0304306
100, 1, 1, 1, 268435456, 268435456, 0.0304295
100, 1, 1, 1, 536870912, 4, 0.0553022
100, 1, 1, 1, 536870912, 8, 0.0552363
100, 1, 1, 1, 536870912, 16, 0.0528037
100, 1, 1, 1, 536870912, 32, 0.0528103
100, 1, 1, 1, 536870912, 64, 0.0562249
100, 1, 1, 1, 536870912, 128, 0.0530549
100, 1, 1, 1, 536870912, 256, 0.0522392
100, 1, 1, 1, 536870912, 512, 0.057133
100, 1, 1, 1, 536870912, 1024, 0.057189
100, 1, 1, 1, 536870912, 2048, 0.0579207
100, 1, 1, 1, 536870912, 4096, 0.0553923
100, 1, 1, 1, 536870912, 8192, 0.0572973
100, 1, 1, 1, 536870912, 16384, 0.0575772
100, 1, 1, 1, 536870912, 32768, 0.0580721
100, 1, 1, 1, 536870912, 65536, 0.0583344
100, 1, 1, 1, 536870912, 131072, 0.0602426
100, 1, 1, 1, 536870912, 262144, 0.063423
100, 1, 1, 1, 536870912, 524288, 0.0689964
100, 1, 1, 1, 536870912, 1048576, 0.0776978
100, 1, 1, 1, 536870912, 2097152, 0.0999211
100, 1, 1, 1, 536870912, 4194304, 0.0999217
100, 1, 1, 1, 536870912, 8388608, 0.0298944
100, 1, 1, 1, 536870912, 16777216, 0.0498795
100, 1, 1, 1, 536870912, 33554432, 0.0570399
100, 1, 1, 1, 536870912, 67108864, 0.0608606
100, 1, 1, 1, 536870912, 134217728, 0.0608264
100, 1, 1, 1, 536870912, 268435456, 0.0591762
100, 1, 1, 1, 536870912, 536870912, 0.0611059
100, 1, 1, 1, 1073741824, 4, 0.0636645
100, 1, 1, 1, 1073741824, 8, 0.0663371
100, 1, 1, 1, 1073741824, 16, 0.0716792
100, 1, 1, 1, 1073741824, 32, 0.0817835
100, 1, 1, 1, 1073741824, 64, 0.0956309
100, 1, 1, 1, 1073741824, 128, 0.0941673
100, 1, 1, 1, 1073741824, 256, 0.0912009
100, 1, 1, 1, 1073741824, 512, 0.0901596
100, 1, 1, 1, 1073741824, 1024, 0.0878751
100, 1, 1, 1, 1073741824, 2048, 0.0883166
100, 1, 1, 1, 1073741824, 4096, 0.0862652
100, 1, 1, 1, 1073741824, 8192, 0.0911674
100, 1, 1, 1, 1073741824, 16384, 0.0901933
100, 1, 1, 1, 1073741824, 32768, 0.0897118
100, 1, 1, 1, 1073741824, 65536, 0.0878441
100, 1, 1, 1, 1073741824, 131072, 0.0886115
100, 1, 1, 1, 1073741824, 262144, 0.0901086
100, 1, 1, 1, 1073741824, 524288, 0.0905122
100, 1, 1, 1, 1073741824, 1048576, 0.093249
100, 1, 1, 1, 1073741824, 2097152, 0.10128
100, 1, 1, 1, 1073741824, 4194304, 0.0999259
100, 1, 1, 1, 1073741824, 8388608, 0.0999303
100, 1, 1, 1, 1073741824, 16777216, 0.0611432
100, 1, 1, 1, 1073741824, 33554432, 0.0611256
100, 1, 1, 1, 1073741824, 67108864, 0.061116
100, 1, 1, 1, 1073741824, 134217728, 0.0611195
100, 1, 1, 1, 1073741824, 268435456, 0.0622695
100, 1, 1, 1, 1073741824, 536870912, 0.062269
100, 1, 1, 1, 1073741824, 1073741824, 0.062272
100, 1, 1, 1, 2147483648, 4, 0.064994
100, 1, 1, 1, 2147483648, 8, 0.065861
100, 1, 1, 1, 2147483648, 16, 0.0707822
100, 1, 1, 1, 2147483648, 32, 0.0811837
100, 1, 1, 1, 2147483648, 64, 0.102147
