num_iterations, num_threads, num_blocks, threads_per_block, size, stride, overall_kernel_time
1000, 1, 1, 1, 1024, 4, 0.145009
1000, 1, 1, 1, 1024, 8, 0.144872
1000, 1, 1, 1, 1024, 16, 0.144835
1000, 1, 1, 1, 1024, 32, 0.14963
1000, 1, 1, 1, 1024, 64, 0.149516
1000, 1, 1, 1, 1024, 128, 0.144711
1000, 1, 1, 1, 1024, 256, 0.144907
1000, 1, 1, 1, 1024, 512, 0.149829
1000, 1, 1, 1, 1024, 1024, 0.144843
1000, 1, 1, 1, 2048, 4, 0.144921
1000, 1, 1, 1, 2048, 8, 0.144879
1000, 1, 1, 1, 2048, 16, 0.144837
1000, 1, 1, 1, 2048, 32, 0.144805
1000, 1, 1, 1, 2048, 64, 0.907584
1000, 1, 1, 1, 2048, 128, 0.149697
1000, 1, 1, 1, 2048, 256, 0.14483
1000, 1, 1, 1, 2048, 512, 0.149861
1000, 1, 1, 1, 2048, 1024, 0.149373
1000, 1, 1, 1, 2048, 2048, 0.144709
1000, 1, 1, 1, 4096, 4, 0.144831
1000, 1, 1, 1, 4096, 8, 0.149637
1000, 1, 1, 1, 4096, 16, 0.149813
1000, 1, 1, 1, 4096, 32, 0.144812
1000, 1, 1, 1, 4096, 64, 0.144778
1000, 1, 1, 1, 4096, 128, 0.149709
1000, 1, 1, 1, 4096, 256, 0.14476
1000, 1, 1, 1, 4096, 512, 0.144789
1000, 1, 1, 1, 4096, 1024, 0.144753
1000, 1, 1, 1, 4096, 2048, 0.144767
1000, 1, 1, 1, 4096, 4096, 0.149444
1000, 1, 1, 1, 8192, 4, 0.144853
1000, 1, 1, 1, 8192, 8, 0.1448
1000, 1, 1, 1, 8192, 16, 0.144846
1000, 1, 1, 1, 8192, 32, 0.149669
1000, 1, 1, 1, 8192, 64, 0.144837
1000, 1, 1, 1, 8192, 128, 0.144856
1000, 1, 1, 1, 8192, 256, 0.144754
1000, 1, 1, 1, 8192, 512, 0.149164
1000, 1, 1, 1, 8192, 1024, 0.144784
1000, 1, 1, 1, 8192, 2048, 0.144802
1000, 1, 1, 1, 8192, 4096, 0.149365
1000, 1, 1, 1, 8192, 8192, 0.149068
1000, 1, 1, 1, 16384, 4, 0.146144
1000, 1, 1, 1, 16384, 8, 0.147277
1000, 1, 1, 1, 16384, 16, 0.149599
1000, 1, 1, 1, 16384, 32, 0.149702
1000, 1, 1, 1, 16384, 64, 0.890207
1000, 1, 1, 1, 16384, 128, 0.149573
1000, 1, 1, 1, 16384, 256, 0.144863
1000, 1, 1, 1, 16384, 512, 0.472193
1000, 1, 1, 1, 16384, 1024, 0.144867
1000, 1, 1, 1, 16384, 2048, 0.29772
1000, 1, 1, 1, 16384, 4096, 0.253112
1000, 1, 1, 1, 16384, 8192, 0.144912
1000, 1, 1, 1, 16384, 16384, 0.144723
1000, 1, 1, 1, 32768, 4, 0.150991
1000, 1, 1, 1, 32768, 8, 0.154016
1000, 1, 1, 1, 32768, 16, 0.163128
1000, 1, 1, 1, 32768, 32, 0.397844
1000, 1, 1, 1, 32768, 64, 0.217298
1000, 1, 1, 1, 32768, 128, 0.217105
1000, 1, 1, 1, 32768, 256, 0.217453
1000, 1, 1, 1, 32768, 512, 0.144963
1000, 1, 1, 1, 32768, 1024, 0.14496
1000, 1, 1, 1, 32768, 2048, 0.144859
1000, 1, 1, 1, 32768, 4096, 0.144843
1000, 1, 1, 1, 32768, 8192, 0.144799
1000, 1, 1, 1, 32768, 16384, 0.144781
1000, 1, 1, 1, 32768, 32768, 0.144857
1000, 1, 1, 1, 65536, 4, 0.154806
1000, 1, 1, 1, 65536, 8, 0.154081
1000, 1, 1, 1, 65536, 16, 0.934405
1000, 1, 1, 1, 65536, 32, 0.186247
1000, 1, 1, 1, 65536, 64, 0.217276
1000, 1, 1, 1, 65536, 128, 0.2172
1000, 1, 1, 1, 65536, 256, 0.611066
1000, 1, 1, 1, 65536, 512, 0.211599
1000, 1, 1, 1, 65536, 1024, 0.144845
1000, 1, 1, 1, 65536, 2048, 0.144777
1000, 1, 1, 1, 65536, 4096, 0.149394
1000, 1, 1, 1, 65536, 8192, 0.144772
1000, 1, 1, 1, 65536, 16384, 0.144809
1000, 1, 1, 1, 65536, 32768, 0.144832
1000, 1, 1, 1, 65536, 65536, 0.149428
1000, 1, 1, 1, 131072, 4, 0.165792
1000, 1, 1, 1, 131072, 8, 0.154319
1000, 1, 1, 1, 131072, 16, 0.163422
1000, 1, 1, 1, 131072, 32, 0.181753
1000, 1, 1, 1, 131072, 64, 0.433254
1000, 1, 1, 1, 131072, 128, 0.222242
1000, 1, 1, 1, 131072, 256, 0.217204
1000, 1, 1, 1, 131072, 512, 0.21163
1000, 1, 1, 1, 131072, 1024, 0.211914
1000, 1, 1, 1, 131072, 2048, 0.144919
1000, 1, 1, 1, 131072, 4096, 0.144892
1000, 1, 1, 1, 131072, 8192, 0.149725
1000, 1, 1, 1, 131072, 16384, 0.144719
1000, 1, 1, 1, 131072, 32768, 0.144781
1000, 1, 1, 1, 131072, 65536, 0.14478
1000, 1, 1, 1, 131072, 131072, 0.149378
