num_iterations, num_threads, num_blocks, threads_per_block, size, stride, overall_kernel_time
1000, 1, 1, 1, 1024, 4, 0.28438
1000, 1, 1, 1, 1024, 8, 0.144872
1000, 1, 1, 1, 1024, 16, 0.144824
1000, 1, 1, 1, 1024, 32, 0.341671
1000, 1, 1, 1, 1024, 64, 0.144779
1000, 1, 1, 1, 1024, 128, 0.14488
1000, 1, 1, 1, 1024, 256, 0.144782
1000, 1, 1, 1, 1024, 512, 0.144804
1000, 1, 1, 1, 1024, 1024, 0.144773
1000, 1, 1, 1, 2048, 4, 0.144794
1000, 1, 1, 1, 2048, 8, 0.149576
1000, 1, 1, 1, 2048, 16, 0.1448
1000, 1, 1, 1, 2048, 32, 0.144792
1000, 1, 1, 1, 2048, 64, 0.144796
1000, 1, 1, 1, 2048, 128, 0.149228
1000, 1, 1, 1, 2048, 256, 0.144802
1000, 1, 1, 1, 2048, 512, 0.144772
1000, 1, 1, 1, 2048, 1024, 0.144804
1000, 1, 1, 1, 2048, 2048, 0.149359
1000, 1, 1, 1, 4096, 4, 0.144792
1000, 1, 1, 1, 4096, 8, 0.144833
1000, 1, 1, 1, 4096, 16, 0.144789
1000, 1, 1, 1, 4096, 32, 0.160972
1000, 1, 1, 1, 4096, 64, 0.144786
1000, 1, 1, 1, 4096, 128, 0.14476
1000, 1, 1, 1, 4096, 256, 0.149278
1000, 1, 1, 1, 4096, 512, 0.149318
1000, 1, 1, 1, 4096, 1024, 0.144772
1000, 1, 1, 1, 4096, 2048, 0.144763
1000, 1, 1, 1, 4096, 4096, 0.149607
1000, 1, 1, 1, 8192, 4, 0.150005
1000, 1, 1, 1, 8192, 8, 0.144838
1000, 1, 1, 1, 8192, 16, 0.144871
1000, 1, 1, 1, 8192, 32, 0.144842
1000, 1, 1, 1, 8192, 64, 0.14955
1000, 1, 1, 1, 8192, 128, 0.144864
1000, 1, 1, 1, 8192, 256, 0.144835
1000, 1, 1, 1, 8192, 512, 0.149764
1000, 1, 1, 1, 8192, 1024, 0.149742
1000, 1, 1, 1, 8192, 2048, 0.144823
1000, 1, 1, 1, 8192, 4096, 0.144874
1000, 1, 1, 1, 8192, 8192, 0.144836
1000, 1, 1, 1, 16384, 4, 0.152918
1000, 1, 1, 1, 16384, 8, 0.14726
1000, 1, 1, 1, 16384, 16, 0.149359
1000, 1, 1, 1, 16384, 32, 0.144905
1000, 1, 1, 1, 16384, 64, 0.149842
1000, 1, 1, 1, 16384, 128, 0.144855
1000, 1, 1, 1, 16384, 256, 0.144841
1000, 1, 1, 1, 16384, 512, 0.144889
1000, 1, 1, 1, 16384, 1024, 0.144848
1000, 1, 1, 1, 16384, 2048, 0.144835
1000, 1, 1, 1, 16384, 4096, 0.144873
1000, 1, 1, 1, 16384, 8192, 0.144831
1000, 1, 1, 1, 16384, 16384, 0.144823
1000, 1, 1, 1, 32768, 4, 0.151715
1000, 1, 1, 1, 32768, 8, 0.15904
1000, 1, 1, 1, 32768, 16, 0.16305
1000, 1, 1, 1, 32768, 32, 0.2861
1000, 1, 1, 1, 32768, 64, 0.22187
1000, 1, 1, 1, 32768, 128, 0.221601
1000, 1, 1, 1, 32768, 256, 0.217102
1000, 1, 1, 1, 32768, 512, 0.149579
1000, 1, 1, 1, 32768, 1024, 0.149458
1000, 1, 1, 1, 32768, 2048, 0.14483
1000, 1, 1, 1, 32768, 4096, 0.144819
1000, 1, 1, 1, 32768, 8192, 0.144947
1000, 1, 1, 1, 32768, 16384, 0.149317
1000, 1, 1, 1, 32768, 32768, 0.144784
1000, 1, 1, 1, 65536, 4, 0.154669
1000, 1, 1, 1, 65536, 8, 0.154107
1000, 1, 1, 1, 65536, 16, 0.163065
1000, 1, 1, 1, 65536, 32, 0.181112
1000, 1, 1, 1, 65536, 64, 0.222202
1000, 1, 1, 1, 65536, 128, 0.217086
1000, 1, 1, 1, 65536, 256, 0.217051
1000, 1, 1, 1, 65536, 512, 0.211556
1000, 1, 1, 1, 65536, 1024, 0.144839
1000, 1, 1, 1, 65536, 2048, 0.14477
1000, 1, 1, 1, 65536, 4096, 0.149544
1000, 1, 1, 1, 65536, 8192, 0.144713
1000, 1, 1, 1, 65536, 16384, 0.144783
1000, 1, 1, 1, 65536, 32768, 0.14477
1000, 1, 1, 1, 65536, 65536, 0.149502
1000, 1, 1, 1, 131072, 4, 0.172487
1000, 1, 1, 1, 131072, 8, 0.154267
1000, 1, 1, 1, 131072, 16, 0.163374
1000, 1, 1, 1, 131072, 32, 0.181273
1000, 1, 1, 1, 131072, 64, 0.217447
1000, 1, 1, 1, 131072, 128, 0.22202
1000, 1, 1, 1, 131072, 256, 0.22179
1000, 1, 1, 1, 131072, 512, 0.21159
1000, 1, 1, 1, 131072, 1024, 0.216255
1000, 1, 1, 1, 131072, 2048, 0.149824
1000, 1, 1, 1, 131072, 4096, 0.144898
1000, 1, 1, 1, 131072, 8192, 0.144984
1000, 1, 1, 1, 131072, 16384, 0.144901
1000, 1, 1, 1, 131072, 32768, 0.149384
1000, 1, 1, 1, 131072, 65536, 0.172174
1000, 1, 1, 1, 131072, 131072, 0.144835
1000, 1, 1, 1, 262144, 4, 0.168974
1000, 1, 1, 1, 262144, 8, 0.154989
1000, 1, 1, 1, 262144, 16, 0.164095
1000, 1, 1, 1, 262144, 32, 0.187679
1000, 1, 1, 1, 262144, 64, 0.218685
1000, 1, 1, 1, 262144, 128, 0.218654
1000, 1, 1, 1, 262144, 256, 0.219666
1000, 1, 1, 1, 262144, 512, 0.216296
1000, 1, 1, 1, 262144, 1024, 0.225256
1000, 1, 1, 1, 262144, 2048, 0.234564
1000, 1, 1, 1, 262144, 4096, 0.181871
1000, 1, 1, 1, 262144, 8192, 0.149594
1000, 1, 1, 1, 262144, 16384, 0.144841
1000, 1, 1, 1, 262144, 32768, 0.144842
1000, 1, 1, 1, 262144, 65536, 0.144827
1000, 1, 1, 1, 262144, 131072, 0.149448
1000, 1, 1, 1, 262144, 262144, 0.144841
1000, 1, 1, 1, 524288, 4, 0.344083
1000, 1, 1, 1, 524288, 8, 0.168242
1000, 1, 1, 1, 524288, 16, 0.189718
1000, 1, 1, 1, 524288, 32, 0.233572
1000, 1, 1, 1, 524288, 64, 0.325437
1000, 1, 1, 1, 524288, 128, 0.220922
1000, 1, 1, 1, 524288, 256, 0.219771
1000, 1, 1, 1, 524288, 512, 0.216327
1000, 1, 1, 1, 524288, 1024, 0.220964
1000, 1, 1, 1, 524288, 2048, 0.234775
1000, 1, 1, 1, 524288, 4096, 0.248568
1000, 1, 1, 1, 524288, 8192, 0.187435
1000, 1, 1, 1, 524288, 16384, 0.149447
1000, 1, 1, 1, 524288, 32768, 0.144919
1000, 1, 1, 1, 524288, 65536, 0.144855
1000, 1, 1, 1, 524288, 131072, 0.144893
1000, 1, 1, 1, 524288, 262144, 0.149656
1000, 1, 1, 1, 524288, 524288, 0.144836
1000, 1, 1, 1, 1048576, 4, 0.418029
1000, 1, 1, 1, 1048576, 8, 0.179008
1000, 1, 1, 1, 1048576, 16, 0.212597
1000, 1, 1, 1, 1048576, 32, 0.283998
1000, 1, 1, 1, 1048576, 64, 0.41962
1000, 1, 1, 1, 1048576, 128, 0.919708
1000, 1, 1, 1, 1048576, 256, 0.222205
1000, 1, 1, 1, 1048576, 512, 0.216529
1000, 1, 1, 1, 1048576, 1024, 0.225697
1000, 1, 1, 1, 1048576, 2048, 0.230451
1000, 1, 1, 1, 1048576, 4096, 0.253348
1000, 1, 1, 1, 1048576, 8192, 0.248571
1000, 1, 1, 1, 1048576, 16384, 0.181931
1000, 1, 1, 1, 1048576, 32768, 0.14484
1000, 1, 1, 1, 1048576, 65536, 0.149689
1000, 1, 1, 1, 1048576, 131072, 0.144769
1000, 1, 1, 1, 1048576, 262144, 0.144779
1000, 1, 1, 1, 1048576, 524288, 0.144703
1000, 1, 1, 1, 1048576, 1048576, 0.144844
1000, 1, 1, 1, 2097152, 4, 0.468579
1000, 1, 1, 1, 2097152, 8, 0.180603
1000, 1, 1, 1, 2097152, 16, 0.214538
1000, 1, 1, 1, 2097152, 32, 0.287555
1000, 1, 1, 1, 2097152, 64, 0.420389
1000, 1, 1, 1, 2097152, 128, 0.415594
1000, 1, 1, 1, 2097152, 256, 0.331894
1000, 1, 1, 1, 2097152, 512, 0.322713
1000, 1, 1, 1, 2097152, 1024, 0.326931
1000, 1, 1, 1, 2097152, 2048, 0.233629
1000, 1, 1, 1, 2097152, 4096, 0.253283
1000, 1, 1, 1, 2097152, 8192, 0.248727
1000, 1, 1, 1, 2097152, 16384, 0.248712
1000, 1, 1, 1, 2097152, 32768, 0.1819
1000, 1, 1, 1, 2097152, 65536, 0.14485
1000, 1, 1, 1, 2097152, 131072, 0.149761
1000, 1, 1, 1, 2097152, 262144, 0.14485
1000, 1, 1, 1, 2097152, 524288, 0.238688
1000, 1, 1, 1, 2097152, 1048576, 0.144853
1000, 1, 1, 1, 2097152, 2097152, 0.14482
1000, 1, 1, 1, 4194304, 4, 0.472271
1000, 1, 1, 1, 4194304, 8, 0.178897
1000, 1, 1, 1, 4194304, 16, 0.212484
1000, 1, 1, 1, 4194304, 32, 0.410395
1000, 1, 1, 1, 4194304, 64, 0.418494
1000, 1, 1, 1, 4194304, 128, 0.422996
1000, 1, 1, 1, 4194304, 256, 0.424277
1000, 1, 1, 1, 4194304, 512, 0.411725
1000, 1, 1, 1, 4194304, 1024, 0.411467
1000, 1, 1, 1, 4194304, 2048, 0.33002
1000, 1, 1, 1, 4194304, 4096, 0.24869
1000, 1, 1, 1, 4194304, 8192, 0.253383
1000, 1, 1, 1, 4194304, 16384, 0.248669
1000, 1, 1, 1, 4194304, 32768, 0.252954
1000, 1, 1, 1, 4194304, 65536, 0.186471
1000, 1, 1, 1, 4194304, 131072, 0.14476
1000, 1, 1, 1, 4194304, 262144, 0.144765
1000, 1, 1, 1, 4194304, 524288, 0.149524
1000, 1, 1, 1, 4194304, 1048576, 0.14955
1000, 1, 1, 1, 4194304, 2097152, 0.144748
1000, 1, 1, 1, 4194304, 4194304, 0.144783
1000, 1, 1, 1, 8388608, 4, 0.486766
1000, 1, 1, 1, 8388608, 8, 0.178814
1000, 1, 1, 1, 8388608, 16, 0.21291
1000, 1, 1, 1, 8388608, 32, 0.285091
1000, 1, 1, 1, 8388608, 64, 0.414651
1000, 1, 1, 1, 8388608, 128, 0.418499
1000, 1, 1, 1, 8388608, 256, 0.421321
1000, 1, 1, 1, 8388608, 512, 0.414108
1000, 1, 1, 1, 8388608, 1024, 0.414377
1000, 1, 1, 1, 8388608, 2048, 0.425948
1000, 1, 1, 1, 8388608, 4096, 0.352384
1000, 1, 1, 1, 8388608, 8192, 0.248932
1000, 1, 1, 1, 8388608, 16384, 0.253333
1000, 1, 1, 1, 8388608, 32768, 0.248614
1000, 1, 1, 1, 8388608, 65536, 0.253262
1000, 1, 1, 1, 8388608, 131072, 0.186556
1000, 1, 1, 1, 8388608, 262144, 0.144777
1000, 1, 1, 1, 8388608, 524288, 0.144779
1000, 1, 1, 1, 8388608, 1048576, 0.149671
1000, 1, 1, 1, 8388608, 2097152, 0.144769
1000, 1, 1, 1, 8388608, 4194304, 0.144765
1000, 1, 1, 1, 8388608, 8388608, 0.14477
1000, 1, 1, 1, 16777216, 4, 0.460509
1000, 1, 1, 1, 16777216, 8, 0.179941
1000, 1, 1, 1, 16777216, 16, 0.218503
1000, 1, 1, 1, 16777216, 32, 0.28289
1000, 1, 1, 1, 16777216, 64, 0.420766
1000, 1, 1, 1, 16777216, 128, 0.419013
1000, 1, 1, 1, 16777216, 256, 0.42047
1000, 1, 1, 1, 16777216, 512, 0.41349
1000, 1, 1, 1, 16777216, 1024, 0.411599
1000, 1, 1, 1, 16777216, 2048, 0.421823
1000, 1, 1, 1, 16777216, 4096, 0.442474
1000, 1, 1, 1, 16777216, 8192, 0.359758
1000, 1, 1, 1, 16777216, 16384, 0.253297
1000, 1, 1, 1, 16777216, 32768, 0.25342
1000, 1, 1, 1, 16777216, 65536, 0.248532
1000, 1, 1, 1, 16777216, 131072, 0.248518
1000, 1, 1, 1, 16777216, 262144, 0.181839
1000, 1, 1, 1, 16777216, 524288, 0.144777
1000, 1, 1, 1, 16777216, 1048576, 0.144863
1000, 1, 1, 1, 16777216, 2097152, 0.144802
1000, 1, 1, 1, 16777216, 4194304, 0.144799
1000, 1, 1, 1, 16777216, 8388608, 0.14482
1000, 1, 1, 1, 16777216, 16777216, 0.149707
1000, 1, 1, 1, 33554432, 4, 0.472664
1000, 1, 1, 1, 33554432, 8, 0.178948
1000, 1, 1, 1, 33554432, 16, 0.21212
1000, 1, 1, 1, 33554432, 32, 0.279875
1000, 1, 1, 1, 33554432, 64, 0.418164
1000, 1, 1, 1, 33554432, 128, 0.419137
1000, 1, 1, 1, 33554432, 256, 0.417339
1000, 1, 1, 1, 33554432, 512, 0.40731
1000, 1, 1, 1, 33554432, 1024, 0.416019
1000, 1, 1, 1, 33554432, 2048, 0.425515
1000, 1, 1, 1, 33554432, 4096, 0.44369
1000, 1, 1, 1, 33554432, 8192, 0.447045
1000, 1, 1, 1, 33554432, 16384, 0.355504
1000, 1, 1, 1, 33554432, 32768, 0.248767
